frame_number,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,size,summary
39,2025-08-11 09:33:59.592944,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
40,2025-08-11 09:33:59.593690,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
41,2025-08-11 09:33:59.594496,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
42,2025-08-11 09:33:59.595208,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
43,2025-08-11 09:33:59.595936,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
44,2025-08-11 09:33:59.596742,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
45,2025-08-11 09:33:59.597407,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
46,2025-08-11 09:33:59.598010,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
47,2025-08-11 09:33:59.598606,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
48,2025-08-11 09:33:59.599201,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
49,2025-08-11 09:33:59.599779,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
50,2025-08-11 09:33:59.600416,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
51,2025-08-11 09:33:59.601010,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
52,2025-08-11 09:33:59.601656,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
53,2025-08-11 09:33:59.602231,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
54,2025-08-11 09:33:59.603092,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
55,2025-08-11 09:33:59.603682,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
